movie_name,ranking,score,score_num
二十二,188,8.7,212001
海边的曼彻斯特,189,8.6,351563
房间,190,8.8,284750
惊魂记,191,9.0,163144
虎口脱险,192,8.9,168934
恐怖游轮,193,8.5,562615
奇迹男孩,194,8.6,412869
魔女宅急便,195,8.6,333530
人工智能,196,8.6,313521
雨中曲,197,9.0,147011
疯狂的石头,198,8.5,569674
小偷家族,199,8.7,581625
爱在午夜降临前,200,8.8,226711
罗生门,201,8.8,217517
终结者2：审判日,202,8.7,250985
海洋,203,9.1,129631
初恋这件小事,204,8.4,758395
魂断蓝桥,205,8.8,198305
燃情岁月,206,8.8,213558
绿里奇迹,207,8.8,190994
可可西里,208,8.8,208036
穿越时空的少女,209,8.6,293645
2001太空漫游,210,8.8,198670
牯岭街少年杀人事件,211,8.8,182648
城市之光,212,9.3,88215
完美陌生人,213,8.5,399693
无耻混蛋,214,8.6,350676
新龙门客栈,215,8.6,315273
阿飞正传,216,8.5,357169
源代码,217,8.4,601986
青蛇,218,8.5,364239
香水,219,8.5,416827
谍影重重2,220,8.7,258842
色，戒,221,8.5,479338
地球上的星星,222,8.9,148975
遗愿清单,223,8.6,263030
谍影重重,224,8.6,309275
血钻,225,8.7,251835
战争之王,226,8.6,260049
大佛普拉斯,227,8.7,270283
猜火车,228,8.5,338037
疯狂的麦克斯4：狂暴之路,229,8.6,365719
彗星来的那一夜,230,8.5,357164
步履不停,231,8.8,179447
朗读者,232,8.6,368992
浪潮,233,8.7,202504
小萝莉的猴神大叔,234,8.4,352811
再次出发之纽约遇见你,235,8.5,301504
驴得水,236,8.3,657460
聚焦,237,8.8,207745
东京物语,238,9.2,90551
九品芝麻官,239,8.5,375911
追随,240,8.9,130913
哈利·波特与火焰杯,241,8.5,346522
一次别离,242,8.7,195389
千钧一发,243,8.8,172428
我爱你,244,9.0,109203
黑鹰坠落,245,8.7,208185
四个春天,246,8.9,117451
网络谜踪,247,8.6,378870
发条橙,248,8.5,278897
波西米亚狂想曲,249,8.7,405102
E.T. 外星人,250,8.6,257657
